Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B03124,MARR LIMO LLC,,2020,2,February,111,0,8
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2018,7,July,"5,366",0,112
B02107,APOLLO RADIO DISPATCH INC.,,2018,6,June,"8,734",0,59
B00381,BELL RADIO INC,,2016,12,December,"4,974",0,112
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2016,11,November,"17,421",0,71
B01600,R & N CAR SERVICE INC.,EVERYWHERE CAR SERVICE,2021,6,June,184,0,11
B02855,JUNIORS LUXURY INC,MEGA JUNIORS,2016,3,March,924,0,10
B02797,CJ LIMOUSINE LLC,,2021,3,March,199,0,11
B02397,CHICO EXPRESS CORP. 2,,2016,11,November,"2,946",0,10
LYFT,LYFT,LYFT,2016,10,October,"1,112,748",0,"15,926"
B01312,BROOKLYN RAD DISP INC,,2020,2,February,"2,698",0,19
B02845,MIRAE CALLS INC,,2015,11,November,20,0,7
B02989,GOOD FRIENDS CAR SERVICE INC,,2021,3,March,"5,359",0,19
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2019,8,August,"1,132",0,14
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2017,11,November,"2,999",0,84
B02704,SPRINGFIELD CAR SERVICE INC,,2016,3,March,418,0,23
B00652,RESCUE C/S INC,,2019,4,April,"2,295",0,15
B02995,"ACCREDITED LIMOUSINE SERVICE, LLC",,2020,3,March,108,0,10
B02819,FIVE STAR LUXURY INC.,,2018,9,September,601,0,3
B01522,"STM ENTERPRISES,INC",JAVA CAR & LIMOUSINE SERVICE,2018,7,July,608,0,24
B00419,KOOP DISPATCHING INC.,,2019,6,June,"1,943",0,3
B02897,FC LIMOUSINE INC,,2018,6,June,"1,589",0,32
B01340,UNICAR COMPANY INC,,2017,8,August,"13,457",0,78
B03327,DAHLIA TRANSPORTATION CORP.,,2021,9,September,266,0,5
B02629,CARLUX LIMO INC.,,2018,12,December,252,0,22
B02248,HYBRID LIMO EXPRESS INC.,,2021,3,March,475,0,2
B02551,CHIEF LIMO INC.,,2015,4,April,244,0,7
B02551,CHIEF LIMO INC.,,2017,7,July,4,0,2
B02093,V.J. CAR & LIMO SVC INC.,,2015,10,October,"1,653",0,6
B02525,"HTP, INC.",,2017,9,September,"1,121",0,18
B02508,"DISPATCH CENTRAL, INC.",,2016,6,June,43,0,10
B02447,LUIGI MEMO INC.,VIEW,2016,10,October,24,0,15
B02826,NEW BELL LUXURY CORP,,2019,11,November,"5,977",0,43
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2018,2,February,"1,842",0,15
B00987,MARLBORO CAR SERVICE INC.,,2017,10,October,108,0,2
B01285,UNION RADIO DISPATCH INC,,2017,5,May,"27,340",0,156
B01424,EAGLE CAR & LIMO LTD.,,2017,2,February,7,0,2
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2020,12,December,52,0,5
B00457,PREMIUM BRONX CORP,,2019,12,December,"4,879",0,30
B01065,EL BARRIO'S CAR SERVICE LLC,,2019,7,July,"8,989",0,68
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2019,10,October,"2,285",0,6
B00350,CHAMPION CAR & LIMO SVC. INC.,,2018,8,August,"3,947",0,21
B02103,A & S LIMOUSINE SERVICE CORP,,2021,9,September,194,0,3
